city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
iqaluit,CA,63.75,-68.52,-3.0,73,90,5.7
san francisco,CO,1.17,-76.88,22.0,68,20,3.6
shwebo,MM,22.57,95.7,23.25,85,87,1.56
neubrandenburg,DE,53.56,13.26,10.56,93,100,0.45
bulawayo,ZW,-20.16,28.59,21.64,42,1,1.62
vryburg,ZA,-26.96,24.73,20.64,22,0,0.86
kieta,PG,-6.22,155.63,25.0,90,100,2.11
beringovskiy,RU,63.05,179.32,-1.3,92,100,1.72
nueva loja,EC,0.08,-76.88,29.0,79,40,2.6
igaci,BR,-9.54,-36.64,23.49,77,11,4.2
varzelandia,BR,-15.7,-44.03,26.25,55,50,1.09
marsh harbour,BS,26.54,-77.06,26.36,72,36,4.64
corinth,GR,37.94,22.93,21.0,77,75,3.6
sokoto,NG,13.06,5.24,29.07,21,100,2.09
madimba,CM,4.42,9.93,26.0,94,40,0.5
egvekinot,RU,66.32,-179.17,-12.72,97,100,1.92
kankan,GN,10.38,-9.3,25.15,58,59,0.74
grindavik,IS,63.84,-22.43,4.0,60,100,2.1
mantua,IT,45.16,10.79,12.22,93,40,3.1
falam,MM,22.91,93.68,14.7,98,7,0.54
sioux lookout,CA,50.1,-91.92,1.0,74,90,3.1
medea,DZ,36.27,2.77,19.0,68,20,3.6
labuhan,ID,-2.54,115.51,22.88,88,28,0.62
la libertad,PE,-16.38,-71.56,18.0,42,20,6.2
mgandu,TZ,-5.96,34.11,16.71,60,0,3.43
adre,TD,13.47,22.2,24.23,15,2,6.25
nouakchott,MR,18.08,-15.98,28.0,18,57,3.6
ruwi,OM,23.6,58.55,28.0,74,16,1.0
jasper,US,33.83,-87.28,17.0,29,20,2.1
onega,RU,63.91,38.09,1.48,97,100,6.85
oktyabrskiy,RU,55.61,37.97,5.0,93,90,5.0
teguldet,RU,57.31,88.17,-5.69,70,100,1.89
bastia,IT,44.6,8.98,14.0,76,43,2.1
inirida,CO,3.87,-67.92,30.07,69,7,1.23
guamuchil,MX,25.47,-108.1,35.0,33,75,4.47
san carlos de bariloche,AR,-41.13,-71.31,10.0,61,75,10.3
taitung,TW,22.76,121.15,14.3,97,100,1.1
komsomolskiy,RU,67.55,63.78,-15.47,72,0,3.17
qobustan,AZ,40.08,49.41,11.0,81,90,2.6
dwarka,IN,28.58,77.04,27.22,83,75,2.6
antrim,GB,54.72,-6.22,9.44,100,75,0.76
shonguy,RU,68.75,33.15,-6.0,92,75,3.0
tazovskiy,RU,67.47,78.7,-14.75,94,100,4.8
palau,ES,42.18,2.97,15.0,82,23,1.5
zion,US,42.45,-87.83,12.0,43,75,6.7
ostrovnoy,RU,68.05,39.51,-3.84,93,100,5.71
vavuniya,LK,8.76,80.5,24.05,88,100,0.37
shubarshi,KZ,48.59,57.19,-4.41,76,0,7.04
llangefni,GB,53.26,-4.31,10.56,87,21,4.6
qandala,SO,11.47,49.87,27.21,72,4,2.57
paamiut,GL,61.99,-49.67,0.04,44,16,2.36
puerto carreno,CO,6.19,-67.49,30.0,70,40,4.1
huilong,CN,31.15,106.5,15.62,74,0,1.27
buraydah,SA,26.33,43.97,24.0,44,0,2.1
atambua,ID,-9.11,124.89,22.38,72,30,1.08
itzehoe,DE,53.92,9.52,11.11,87,75,3.1
davila,PH,18.47,120.58,25.0,94,75,1.0
medernach,LU,49.81,6.21,10.56,93,75,5.7
windsor,US,42.3,-83.03,8.0,48,75,3.6
marystown,CA,47.17,-55.16,12.78,2,100,2.68
manta,RO,45.1,24.1,10.54,87,100,0.79
chicama,PE,-7.84,-79.15,19.0,82,3,5.1
sangar,RU,63.92,127.47,-12.36,92,100,3.36
nuuk,GL,64.17,-51.74,-2.0,79,87,2.1
waddan,LY,29.16,16.14,23.73,31,0,1.87
san jose el idolo,GT,14.45,-91.42,33.0,52,40,3.1
newcastle,AU,-32.93,151.78,22.22,82,75,6.2
kollo,NE,13.34,2.32,31.0,31,73,2.1
hirakud,IN,21.53,83.9,21.7,72,0,0.98
ostersund,SE,63.18,14.64,-5.0,85,0,1.5
sarakhs,TM,36.54,61.16,7.63,78,100,5.18
itarema,BR,-2.92,-39.92,25.99,77,37,4.4
saquena,PE,-4.67,-73.52,28.68,70,98,1.21
